Review_lower,Review_no_punct,Review_cleaned_basic,Review_length,Length_buckets,Rating,Total_thumbsup,Reply,Tokens,Tokens_no_stopwords,Tokens_joined,Rating_joined
ridiculous update. don't pay for their premium until they bring back the now playing music bar both in app and in notifications. where is the dislike button?,ridiculous update dont pay for their premium until they bring back the now playing music bar both in app and in notifications where is the dislike button,ridiculous update dont pay for their premium until they bring back the now playing music bar both in app and in notifications where is the dislike button,27.00,20 - 49 words,3.00,3.00,,after,after,ridiculous update dont pay for their premium until they bring back the now playing music bar both in app and in notifications where is the dislike button,3.00
"download function doesn't work. app is for online use only. company is being criminal charging a subscription for offline use that doens't work at all. forced to reinstall the app every now and then because it just logs me out and never let me log in again. zero customer service, worst company ever. and now the platform is censoring it's own content based on political propaganda.",download function doesnt work app is for online use only company is being criminal charging a subscription for offline use that doenst work at all forced to reinstall the app every now and then because it just logs me out and never let me log in again zero customer service worst company ever and now the platform is censoring its own content based on political propaganda,download function doesnt work app is for online use only company is being criminal charging a subscription for offline use that doenst work at all forced to reinstall the app every now and then because it just logs me out and never let me log in again zero customer service worst company ever and now the platform is censoring its own content based on political propaganda,66.00,50 - 99 words,4.00,0.00,,time,time,download function doesnt work app is for online use only company is being criminal charging a subscription for offline use that doenst work at all forced to reinstall the app every now and then because it just logs me out and never let me log in again zero customer service worst company ever and now the platform is censoring its own content based on political propaganda,4.00
spotify app is good app for interest in music tamil people. i like it.it play good songs before 40 years ago. this songs maintain relax the mind and understanding the lyrics.,spotify app is good app for interest in music tamil people i like itit play good songs before 40 years ago this songs maintain relax the mind and understanding the lyrics,spotify app is good app for interest in music tamil people i like itit play good songs before 40 years ago this songs maintain relax the mind and understanding the lyrics,31.00,20 - 49 words,5.00,0.00,,of,,spotify app is good app for interest in music tamil people i like itit play good songs before 40 years ago this songs maintain relax the mind and understanding the lyrics,5.00
it keep crash after the last update on vivo v23e. please fix it!!!,it keep crash after the last update on vivo v23e please fix it,it keep crash after the last update on vivo v23e please fix it,13.00,10 - 19 words,4.00,0.00,,using,using,it keep crash after the last update on vivo v23e please fix it,4.00
all my downloads have disappeared.. the app can't play songs again,all my downloads have disappeared the app cant play songs again,all my downloads have disappeared the app cant play songs again,11.00,10 - 19 words,1.00,1.00,,it,,all my downloads have disappeared the app cant play songs again,1.00
paying for premium and the app will randomly shut off mid song.,paying for premium and the app will randomly shut off mid song,paying for premium and the app will randomly shut off mid song,12.00,10 - 19 words,5.00,0.00,,if,if,paying for premium and the app will randomly shut off mid song,5.00
"i'm having the same lagging issue as others. ive tried everything i can think of, reinstalling the app and booting everything, nothing helps. it's extremely frustrating considering i pay for premium and can barely use the app.",im having the same lagging issue as others ive tried everything i can think of reinstalling the app and booting everything nothing helps its extremely frustrating considering i pay for premium and can barely use the app,im having the same lagging issue as others ive tried everything i can think of reinstalling the app and booting everything nothing helps its extremely frustrating considering i pay for premium and can barely use the app,37.00,20 - 49 words,2.00,2.00,,i,i,im having the same lagging issue as others ive tried everything i can think of reinstalling the app and booting everything nothing helps its extremely frustrating considering i pay for premium and can barely use the app,2.00
"im updating my review because things have changed. ads on spotify are constant now, but inconsistent, i can listen to five songs and get another ad, they barely do the free thirty minutes of ad free listening, and you can't even preview a song before playing or adding it like you used to be able to do. instead of buying spotify premium just get youtube's thing, you get no ads for videos or music, can do everything just like spotify can, it's better for daily use and music.",im updating my review because things have changed ads on spotify are constant now but inconsistent i can listen to five songs and get another ad they barely do the free thirty minutes of ad free listening and you cant even preview a song before playing or adding it like you used to be able to do instead of buying spotify premium just get youtubes thing you get no ads for videos or music can do everything just like spotify can its better for daily use and music,im updating my review because things have changed ads on spotify are constant now but inconsistent i can listen to five songs and get another ad they barely do the free thirty minutes of ad free listening and you cant even preview a song before playing or adding it like you used to be able to do instead of buying spotify premium just get youtubes thing you get no ads for videos or music can do everything just like spotify can its better for daily use and music,88.00,50 - 99 words,1.00,0.00,,search,search,im updating my review because things have changed ads on spotify are constant now but inconsistent i can listen to five songs and get another ad they barely do the free thirty minutes of ad free listening and you cant even preview a song before playing or adding it like you used to be able to do instead of buying spotify premium just get youtubes thing you get no ads for videos or music can do everything just like spotify can its better for daily use and music,1.00
"i download a couple of playlists for traveling, and i prefer to keep those on my sd card to free up internal storage. when i try to change the storage location, spotify crashes. i cannot open it, and i have to uninstall and reinstall it. this has happened a couple of times. very frustrating.",i download a couple of playlists for traveling and i prefer to keep those on my sd card to free up internal storage when i try to change the storage location spotify crashes i cannot open it and i have to uninstall and reinstall it this has happened a couple of times very frustrating,i download a couple of playlists for traveling and i prefer to keep those on my sd card to free up internal storage when i try to change the storage location spotify crashes i cannot open it and i have to uninstall and reinstall it this has happened a couple of times very frustrating,54.00,50 - 99 words,2.00,0.00,,up,up,i download a couple of playlists for traveling and i prefer to keep those on my sd card to free up internal storage when i try to change the storage location spotify crashes i cannot open it and i have to uninstall and reinstall it this has happened a couple of times very frustrating,2.00
very easy to use could be a bit cheaper fir thise in benwfitnit just students single parent families and alo you should be helping people like me promote this around the churhces in scotland to modernize the worship practice,very easy to use could be a bit cheaper fir thise in benwfitnit just students single parent families and alo you should be helping people like me promote this around the churhces in scotland to modernize the worship practice,very easy to use could be a bit cheaper fir thise in benwfitnit just students single parent families and alo you should be helping people like me promote this around the churhces in scotland to modernize the worship practice,39.00,20 - 49 words,3.00,4.00,,the,,very easy to use could be a bit cheaper fir thise in benwfitnit just students single parent families and alo you should be helping people like me promote this around the churhces in scotland to modernize the worship practice,3.00
"i use this quite frequently esp being i love multiple genres however my daily made for you lists keep switching on me when im listening to them. it's annoying cuz when i want rap or hip hop or newer rap it changes to industrial, when i want black metal it switches to doom. if there's a way to better compartmentalize my different tastes with out switching it up on me that'd be great. at least switch the artists up with in simular genres or artist and not totally shift into a different spectrum.",i use this quite frequently esp being i love multiple genres however my daily made for you lists keep switching on me when im listening to them its annoying cuz when i want rap or hip hop or newer rap it changes to industrial when i want black metal it switches to doom if theres a way to better compartmentalize my different tastes with out switching it up on me thatd be great at least switch the artists up with in simular genres or artist and not totally shift into a different spectrum,i use this quite frequently esp being i love multiple genres however my daily made for you lists keep switching on me when im listening to them its annoying cuz when i want rap or hip hop or newer rap it changes to industrial when i want black metal it switches to doom if theres a way to better compartmentalize my different tastes with out switching it up on me thatd be great at least switch the artists up with in simular genres or artist and not totally shift into a different spectrum,93.00,50 - 99 words,1.00,0.00,,same,same,i use this quite frequently esp being i love multiple genres however my daily made for you lists keep switching on me when im listening to them its annoying cuz when i want rap or hip hop or newer rap it changes to industrial when i want black metal it switches to doom if theres a way to better compartmentalize my different tastes with out switching it up on me thatd be great at least switch the artists up with in simular genres or artist and not totally shift into a different spectrum,1.00
